,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote,Seats,Seats,Seats,Seats,Governing party at election,Governing since,PM at election,Winning party,Notes,log gov period,winner,Govt 2pp votes margin,Govt seats margin
,ALP,L+NP,Oth.,ALP,L+NP,ALP,L+NP,Oth.,Total,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
1919-12-13,0.425,0.5429999999999999,0.032,0.45899999999999996,0.541,25.0,38.0,2.0,75.0,L+NP,1917-02-17,Hughes,L+NP,,6.9363427358340495,L+NP,0.08200000000000007,0.20634920634920634
1922-12-16,0.423,0.478,0.099,0.488,0.512,29.0,40.0,6.0,75.0,L+NP,1917-02-17,Hughes,L+NP,,7.662937850461535,L+NP,0.02400000000000002,0.15942028985507245
1925-11-14,0.45,0.532,0.018000000000000002,0.462,0.5379999999999999,23.0,50.0,2.0,75.0,L+NP,1917-02-17,Bruce,L+NP,,8.068402958569699,L+NP,0.0759999999999999,0.3698630136986301
1928-11-17,0.446,0.496,0.057999999999999996,0.484,0.516,31.0,42.0,2.0,75.0,L+NP,1917-02-17,Bruce,L+NP,,8.364275084991524,L+NP,0.03200000000000003,0.1506849315068493
1929-10-12,0.488,0.442,0.07,0.5670000000000001,0.433,46.0,24.0,5.0,75.0,L+NP,1917-02-17,Bruce,ALP,,8.438149984075784,ALP,-0.13400000000000006,-0.3142857142857143
1931-12-19,0.271,0.484,0.245,0.415,0.585,14.0,50.0,11.0,75.0,ALP,1929-10-22,Scullin,L+NP,,6.669498089857879,L+NP,-0.16999999999999998,-0.5625
1934-09-15,0.268,0.456,0.276,0.465,0.535,18.0,42.0,14.0,74.0,L+NP,1932-01-06,Lyons,L+NP,,6.890609120147166,L+NP,0.07,0.4
1937-10-23,0.43200000000000005,0.493,0.075,0.494,0.506,29.0,43.0,2.0,74.0,L+NP,1932-01-06,Lyons,L+NP,,7.6577552711348655,L+NP,0.01200000000000001,0.19444444444444445
1940-09-21,0.402,0.439,0.159,0.503,0.49700000000000005,32.0,36.0,6.0,74.0,L+NP,1932-01-06,Menzies,L+NP,,8.064950891749143,L+NP,-0.00599999999999995,0.058823529411764705
1943-08-21,0.499,0.23,0.271,0.5820000000000001,0.418,49.0,19.0,6.0,74.0,ALP,1941-10-07,Curtin,ALP,Change of Govt. during term prior to electon,6.52649485957079,ALP,0.1640000000000001,0.4411764705882353
1946-09-28,0.49700000000000005,0.39299999999999996,0.11,0.541,0.45899999999999996,43.0,26.0,5.0,74.0,ALP,1941-10-07,Chifley,ALP,,7.504942068396171,ALP,0.08200000000000007,0.2463768115942029
1949-12-10,0.46,0.503,0.037000000000000005,0.49,0.51,47.0,74.0,0.0,121.0,ALP,1941-10-07,Chifley,L+NP,,8.001689978099135,L+NP,-0.020000000000000018,-0.2231404958677686
1951-04-28,0.47600000000000003,0.503,0.021,0.493,0.507,52.0,69.0,0.0,121.0,L+NP,1949-12-19,Menzies,L+NP,,6.20455776256869,L+NP,0.014000000000000012,0.14049586776859505
1954-05-29,0.5,0.46799999999999997,0.032,0.507,0.493,57.0,64.0,0.0,121.0,L+NP,1949-12-19,Menzies,L+NP,,7.3914152346753585,L+NP,-0.014000000000000012,0.05785123966942149
1955-12-10,0.446,0.47600000000000003,0.078,0.45799999999999996,0.542,47.0,75.0,0.0,122.0,L+NP,1949-12-19,Menzies,L+NP,,7.687997166393016,L+NP,0.08400000000000007,0.22950819672131148
1958-11-22,0.428,0.466,0.106,0.45899999999999996,0.541,45.0,77.0,0.0,122.0,L+NP,1949-12-19,Menzies,L+NP,,8.089482474360754,L+NP,0.08200000000000007,0.26229508196721313
1961-12-09,0.479,0.42100000000000004,0.1,0.505,0.495,60.0,62.0,0.0,122.0,L+NP,1949-12-19,Menzies,L+NP,,8.38320455141292,L+NP,-0.010000000000000009,0.01639344262295082
1963-11-30,0.455,0.46,0.085,0.474,0.526,50.0,72.0,0.0,122.0,L+NP,1949-12-19,Menzies,L+NP,,8.535818655539403,L+NP,0.052000000000000046,0.18032786885245902
1966-11-26,0.4,0.5,0.1,0.431,0.569,41.0,82.0,1.0,124.0,L+NP,1949-12-19,Holt,L+NP,,8.730043953245016,L+NP,0.13799999999999996,0.3333333333333333
1969-10-25,0.47,0.433,0.09699999999999999,0.502,0.498,59.0,66.0,0.0,125.0,L+NP,1949-12-19,Gorton,L+NP,,8.88875674784872,L+NP,-0.0040000000000000036,0.056
1972-12-02,0.496,0.415,0.08900000000000001,0.527,0.473,67.0,58.0,0.0,125.0,L+NP,1949-12-19,McMahon,ALP,,9.034080406560824,ALP,-0.05400000000000005,-0.072
1974-05-18,0.493,0.449,0.057999999999999996,0.517,0.483,66.0,61.0,0.0,127.0,ALP,1972-12-05,Whitlam,ALP,,6.270988431858299,ALP,0.03400000000000003,0.03937007874015748
1975-12-13,0.428,0.531,0.040999999999999995,0.44299999999999995,0.557,36.0,91.0,0.0,127.0,L+NP,1975-11-11,Fraser,L+NP,Fraser became Caretaker PM prior to election,3.4657359027997265,L+NP,0.1140000000000001,0.4330708661417323
1977-12-10,0.397,0.48100000000000004,0.122,0.45399999999999996,0.546,38.0,86.0,0.0,124.0,L+NP,1975-11-11,Fraser,L+NP,,6.633318433280377,L+NP,0.09200000000000008,0.3870967741935484
1980-10-18,0.452,0.46299999999999997,0.085,0.496,0.504,51.0,74.0,0.0,125.0,L+NP,1975-11-11,Fraser,L+NP,,7.497207223203318,L+NP,0.008000000000000007,0.184
1983-03-05,0.495,0.436,0.069,0.532,0.46799999999999997,75.0,50.0,0.0,125.0,L+NP,1975-11-11,Fraser,ALP,,7.890208213109961,ALP,-0.06400000000000006,-0.2
1984-12-01,0.47600000000000003,0.45,0.07400000000000001,0.518,0.48200000000000004,82.0,66.0,0.0,148.0,ALP,1983-03-11,Hawke,ALP,,6.447305862541213,ALP,0.035999999999999976,0.10810810810810811
1987-07-11,0.45799999999999996,0.461,0.081,0.508,0.49200000000000005,86.0,62.0,0.0,148.0,ALP,1983-03-11,Hawke,ALP,,7.367077059881012,ALP,0.01599999999999996,0.16216216216216217
