datetime,variable,value
2022-01-26 12:15:38.589581,Labor,1.40
2022-01-26 12:15:38.589581,Coalition,2.85
2022-01-26 12:15:38.589581,Any Other,41.00
2022-01-27 12:15:37.942768,Labor,1.40
2022-01-27 12:15:37.942768,Coalition,2.80
2022-01-27 12:15:37.942768,Any Other,41.00
2022-01-28 12:15:42.551983,Labor,1.40
2022-01-28 12:15:42.551983,Coalition,2.85
2022-01-28 12:15:42.551983,Any Other,41.00
2022-01-29 12:15:39.169472,Labor,1.40
2022-01-29 12:15:39.169472,Coalition,2.85
2022-01-29 12:15:39.169472,Any Other,41.00
2022-01-30 12:15:42.188342,Labor,1.40
2022-01-30 12:15:42.188342,Coalition,2.85
2022-01-30 12:15:42.188342,Any Other,41.00
2022-01-31 12:15:40.411315,Labor,1.35
2022-01-31 12:15:40.411315,Coalition,3.00
2022-01-31 12:15:40.411315,Any Other,41.00
2022-02-01 12:15:43.565791,Labor,1.35
2022-02-01 12:15:43.565791,Coalition,3.00
2022-02-01 12:15:43.565791,Any Other,41.00
2022-02-02 12:15:39.391470,Labor,1.35
2022-02-02 12:15:39.391470,Coalition,3.10
2022-02-02 12:15:39.391470,Any Other,41.00
2022-02-03 12:15:40.788375,Labor,1.35
2022-02-03 12:15:40.788375,Coalition,3.10
2022-02-03 12:15:40.788375,Any Other,41.00
2022-02-04 12:15:40.337040,Labor,1.35
2022-02-04 12:15:40.337040,Coalition,3.10
2022-02-04 12:15:40.337040,Any Other,41.00
2022-02-05 12:15:41.365540,Labor,1.35
2022-02-05 12:15:41.365540,Coalition,3.10
2022-02-05 12:15:41.365540,Any Other,41.00
2022-02-06 12:15:40.925411,Labor,1.32
2022-02-06 12:15:40.925411,Coalition,3.25
2022-02-06 12:15:40.925411,Any Other,41.00
2022-02-07 12:15:39.853257,Labor,1.32
2022-02-07 12:15:39.853257,Coalition,3.25
2022-02-07 12:15:39.853257,Any Other,41.00
2022-02-09 14:49:46.036732,Labor,1.35
2022-02-09 14:49:46.036732,Coalition,3.05
2022-02-09 14:49:46.036732,Any Other,41.00
2022-02-10 12:15:44.102635,Labor,1.37
2022-02-10 12:15:44.102635,Coalition,3.00
2022-02-10 12:15:44.102635,Any Other,41.00
2022-02-11 12:15:32.009856,Labor,1.37
2022-02-11 12:15:32.009856,Coalition,3.00
2022-02-11 12:15:32.009856,Any Other,41.00
2022-02-12 12:15:46.609415,Labor,1.37
2022-02-12 12:15:46.609415,Coalition,3.00
2022-02-12 12:15:46.609415,Any Other,41.00
2022-02-13 12:15:46.326157,Labor,1.37
2022-02-13 12:15:46.326157,Coalition,3.00
2022-02-13 12:15:46.326157,Any Other,41.00
2022-02-14 12:15:45.479883,Labor,1.35
2022-02-14 12:15:45.479883,Coalition,3.10
2022-02-14 12:15:45.479883,Any Other,41.00
2022-02-15 12:15:45.230344,Labor,1.32
2022-02-15 12:15:45.230344,Coalition,3.15
2022-02-15 12:15:45.230344,Any Other,41.00
2022-02-16 12:15:45.473908,Labor,1.32
2022-02-16 12:15:45.473908,Coalition,3.15
2022-02-16 12:15:45.473908,Any Other,41.00
2022-02-17 12:15:43.668548,Labor,1.35
2022-02-17 12:15:43.668548,Coalition,3.00
2022-02-17 12:15:43.668548,Any Other,41.00
2022-02-18 12:16:03.846408,Labor,1.35
2022-02-18 12:16:03.846408,Coalition,3.00
2022-02-18 12:16:03.846408,Any Other,41.00
2022-02-19 12:15:33.249855,Labor,1.35
2022-02-19 12:15:33.249855,Coalition,3.00
2022-02-19 12:15:33.249855,Any Other,41.00
2022-02-20 12:15:39.649006,Labor,1.35
2022-02-20 12:15:39.649006,Coalition,3.00
2022-02-20 12:15:39.649006,Any Other,41.00
2022-02-21 12:15:43.921226,Labor,1.35
2022-02-21 12:15:43.921226,Coalition,3.00
2022-02-21 12:15:43.921226,Any Other,41.00
2022-02-22 12:15:45.271853,Labor,1.38
2022-02-22 12:15:45.271853,Coalition,2.95
2022-02-22 12:15:45.271853,Any Other,41.00
2022-02-23 12:15:44.453833,Labor,1.38
2022-02-23 12:15:44.453833,Coalition,2.95
2022-02-23 12:15:44.453833,Any Other,41.00
2022-02-24 12:15:44.099623,Labor,1.38
2022-02-24 12:15:44.099623,Coalition,2.95
2022-02-24 12:15:44.099623,Any Other,41.00
2022-02-25 12:15:45.779203,Labor,1.38
2022-02-25 12:15:45.779203,Coalition,2.85
2022-02-25 12:15:45.779203,Any Other,41.00
2022-02-26 12:15:42.485455,Labor,1.38
2022-02-26 12:15:42.485455,Coalition,2.85
2022-02-26 12:15:42.485455,Any Other,41.00
2022-02-27 12:15:43.821183,Labor,1.38
2022-02-27 12:15:43.821183,Coalition,2.85
2022-02-27 12:15:43.821183,Any Other,41.00
2022-02-28 12:15:44.028854,Labor,1.37
2022-02-28 12:15:44.028854,Coalition,2.90
2022-02-28 12:15:44.028854,Any Other,41.00
2022-03-01 17:09:57.324979,Labor,1.35
2022-03-01 17:09:57.324979,Coalition,3.05
2022-03-01 17:09:57.324979,Any Other,41.00
2022-03-02 12:15:43.959183,Labor,1.32
2022-03-02 12:15:43.959183,Coalition,3.20
2022-03-02 12:15:43.959183,Any Other,41.00
2022-03-03 12:15:45.010825,Labor,1.32
2022-03-03 12:15:45.010825,Coalition,3.20
2022-03-03 12:15:45.010825,Any Other,41.00
2022-03-06 11:38:22.120842,Labor,1.32
2022-03-06 11:38:22.120842,Coalition,3.20
2022-03-06 11:38:22.120842,Any Other,41.00
2022-03-06 12:15:50.393216,Labor,1.32
2022-03-06 12:15:50.393216,Coalition,3.20
2022-03-06 12:15:50.393216,Any Other,41.00
2022-03-07 12:15:37.626635,Labor,1.30
2022-03-07 12:15:37.626635,Coalition,3.30
2022-03-07 12:15:37.626635,Any Other,41.00
2022-03-08 15:21:23.746866,Labor,1.27
2022-03-08 15:21:23.746866,Coalition,3.60
2022-03-08 15:21:23.746866,Any Other,41.00
2022-03-09 12:15:43.020749,Labor,1.32
2022-03-09 12:15:43.020749,Coalition,3.20
2022-03-09 12:15:43.020749,Any Other,41.00
2022-03-10 12:15:43.025623,Labor,1.35
2022-03-10 12:15:43.025623,Coalition,3.05
2022-03-10 12:15:43.025623,Any Other,41.00
2022-03-11 12:15:42.948266,Labor,1.35
2022-03-11 12:15:42.948266,Coalition,3.05
2022-03-11 12:15:42.948266,Any Other,41.00
2022-03-12 12:15:42.266123,Labor,1.35
2022-03-12 12:15:42.266123,Coalition,3.05
2022-03-12 12:15:42.266123,Any Other,41.00
2022-03-13 12:15:42.845274,Labor,1.35
2022-03-13 12:15:42.845274,Coalition,3.05
2022-03-13 12:15:42.845274,Any Other,41.00
2022-03-14 12:15:42.666774,Labor,1.35
2022-03-14 12:15:42.666774,Coalition,3.05
2022-03-14 12:15:42.666774,Any Other,41.00
2022-03-15 12:15:43.826141,Labor,1.35
2022-03-15 12:15:43.826141,Coalition,3.05
2022-03-15 12:15:43.826141,Any Other,41.00
2022-03-17 12:15:49.523227,Labor,1.36
2022-03-17 12:15:49.523227,Coalition,2.95
2022-03-17 12:15:49.523227,Any Other,41.00
2022-03-18 12:15:43.202423,Labor,1.35
2022-03-18 12:15:43.202423,Coalition,3.00
2022-03-18 12:15:43.202423,Any Other,41.00
2022-03-19 12:16:02.193946,Labor,1.35
2022-03-19 12:16:02.193946,Coalition,3.00
2022-03-19 12:16:02.193946,Any Other,41.00
2022-03-20 12:15:43.165649,Labor,1.35
2022-03-20 12:15:43.165649,Coalition,3.00
2022-03-20 12:15:43.165649,Any Other,41.00
2022-03-21 12:15:42.035496,Labor,1.35
2022-03-21 12:15:42.035496,Coalition,3.00
2022-03-21 12:15:42.035496,Any Other,41.00
2022-03-22 12:15:46.862630,Labor,1.35
2022-03-22 12:15:46.862630,Coalition,3.00
2022-03-22 12:15:46.862630,Any Other,41.00
2022-03-24 12:15:45.500196,Labor,1.35
2022-03-24 12:15:45.500196,Coalition,3.00
2022-03-24 12:15:45.500196,Any Other,41.00
2022-03-31 12:15:46.724879,Labor,1.35
2022-03-31 12:15:46.724879,Coalition,3.00
2022-03-31 12:15:46.724879,Any Other,41.00
2022-04-01 12:15:41.305913,Labor,1.33
2022-04-01 12:15:41.305913,Coalition,3.10
2022-04-01 12:15:41.305913,Any Other,81.00
